time,NaOH,CaCl2,DHA,formaldehyde,glycolaldehyde,erythrulose,lyxose
59626.0,40.3565604073622,17.639463474669462,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59627.0,40.294303840812496,17.65792840801888,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59628.0,40.23256607898404,17.676239466923718,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59629.0,40.17134279850415,17.694397933671016,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59630.0,40.110629712028256,17.712405079862087,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59631.0,40.05042256793966,17.730262166501564,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59632.0,39.99071715005181,17.747970444085713,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59633.0,39.93150927731302,17.765531152689995,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59634.0,39.87279480351372,17.782945522055908,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59635.0,39.81456961699608,17.800214771677105,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59636.0,39.75682964036609,17.81734011088479,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59637.0,39.69957083020802,17.83432273893241,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59638.0,39.64278917680127,17.851163845079636,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59639.0,39.58648070383957,17.867864608675635,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59640.0,39.53064146815255,17.884426199241666,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59641.0,39.47526755942959,17.90084977655298,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59642.0,39.42035509994599,17.917136490720033,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59643.0,39.36590024429142,17.933287482269026,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59644.0,39.31189917910064,17.94930388222178,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59645.0,39.25834812278645,17.965186812174927,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59646.0,39.20524332527487,17.980937384378464,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59647.0,39.15258106774256,17.96464148382452,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59648.0,39.10035766235635,17.948481382441855,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59649.0,39.04856945201503,17.932455948570716,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59650.0,38.99721281009322,17.916564059981834,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59651.0,38.946284140187416,17.90080460379786,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59652.0,38.89577987586416,17.885176476415417,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59653.0,38.84569648041028,17.86967858342783,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59654.0,38.79603044658517,17.854309839548474,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59655.0,38.74677829637528,17.839069168534778,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59656.0,38.69793658075046,17.823955503112863,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59657.0,38.64950187942252,17.808967784902798,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59658.0,38.60147080060564,17.794104964344484,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59659.0,38.5538399807789,17.779366000624155,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59660.0,38.50660608445072,17.764749861601494,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59661.0,38.45976580392528,17.75025552373736,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59662.0,38.57479960860584,17.73588197202209,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59663.0,38.68887479824741,17.721628199904448,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59664.0,38.80199936130862,17.70749320922112,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59665.0,38.91418121967765,17.69347601012682,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
59666.0,39.02542822922695,17.67957562102497,15.000000000000105,60.00000000000041,15.000000000000105,14.999999999999998,14.999999999999998
