time,DHA,NaOH,CaCl2,formaldehyde
14027.0,50.00000000000041,30.000000000000213,15.020247574984861,100.00000000000003
14028.0,50.00000000000041,30.000000000000213,15.020078845193321,100.00000000000003
14029.0,50.00000000000041,30.000000000000213,15.019911521483378,100.00000000000003
14030.0,50.00000000000041,30.000000000000213,15.019745592137683,100.00000000000003
14031.0,50.00000000000041,30.000000000000213,15.019581045536535,100.00000000000003
14032.0,50.00000000000041,30.000000000000213,15.019417870157064,100.00000000000003
14033.0,50.00000000000041,30.000000000000213,15.019256054572422,100.00000000000003
14034.0,50.00000000000041,30.000000000000213,15.019095587450984,100.00000000000003
14035.0,50.00000000000041,30.000000000000213,15.01893645755556,100.00000000000003
14036.0,50.00000000000041,30.000000000000213,15.018778653742597,100.00000000000003
14037.0,50.00000000000041,30.000000000000213,15.018622164961409,100.00000000000003
14038.0,50.00000000000041,30.000000000000213,15.018466980253397,100.00000000000003
14039.0,50.00000000000041,30.000000000000213,15.018313088751285,100.00000000000003
14040.0,50.00000000000041,30.000000000000213,15.018160479678357,100.00000000000003
14041.0,50.00000000000041,30.000000000000213,15.018009142347704,100.00000000000003
14042.0,50.00000000000041,30.000000000000213,15.017859066161474,100.00000000000003
14043.0,50.00000000000041,30.000000000000213,15.017710240610128,100.00000000000003
14044.0,50.00000000000041,30.000000000000213,15.01756265527171,100.00000000000003
14045.0,50.00000000000041,30.000000000000213,15.017416299811114,100.00000000000003
14046.0,50.00000000000041,30.000000000000213,15.017271163979354,100.00000000000003
14047.0,50.00000000000041,30.000000000000213,15.01712723761286,100.00000000000003
14048.0,50.00000000000041,30.000000000000213,15.016984510632753,100.00000000000003
14049.0,50.00000000000041,30.000000000000213,15.016842973044147,100.00000000000003
14050.0,50.00000000000041,30.000000000000213,15.016702614935445,100.00000000000003
14051.0,50.00000000000041,30.000000000000213,15.01656342647765,100.00000000000003
14052.0,50.00000000000041,30.000000000000213,15.016425397923669,100.00000000000003
14053.0,50.00000000000041,30.000000000000213,15.016288519607638,100.00000000000003
14054.0,50.00000000000041,30.000000000000213,15.01615278194424,100.00000000000003
14055.0,50.00000000000041,30.000000000000213,15.016018175428039,100.00000000000003
14056.0,50.00000000000041,30.000000000000213,15.015884690632806,100.00000000000003
14057.0,50.00000000000041,30.000000000000213,15.015752318210867,100.00000000000003
14058.0,50.00000000000041,30.000000000000213,15.015621048892443,100.00000000000003
14059.0,50.00000000000041,30.000000000000213,15.015490873485007,100.00000000000003
14060.0,50.00000000000041,30.000000000000213,15.015361782872631,100.00000000000003
14061.0,50.00000000000041,30.000000000000213,15.01523376801536,100.00000000000003
14062.0,50.00000000000041,30.000000000000213,15.015106819948565,100.00000000000003
14063.0,50.00000000000041,30.000000000000213,15.014980929782327,100.00000000000003
14064.0,50.00000000000041,30.000000000000213,15.014856088700808,100.00000000000003
14065.0,50.00000000000041,30.000000000000213,15.014732287961635,100.00000000000003
14066.0,50.00000000000041,30.000000000000213,15.014609518895288,100.00000000000003
14067.0,50.00000000000041,30.000000000000213,15.014487772904493,100.00000000000003
14068.0,50.00000000000041,30.000000000000213,15.014367041463622,100.00000000000003
14069.0,50.00000000000041,30.000000000000213,15.014247316118091,100.00000000000003
14070.0,50.00000000000041,30.000000000000213,15.014128588483773,100.00000000000003
14071.0,50.00000000000041,30.000000000000213,15.01401085024641,100.00000000000003
14072.0,50.00000000000041,30.000000000000213,15.013894093161023,100.00000000000003
14073.0,50.00000000000041,30.000000000000213,15.013778309051347,100.00000000000003
14074.0,50.00000000000041,30.000000000000213,15.013663489809252,100.00000000000003
14075.0,50.00000000000041,30.000000000000213,15.013549627394175,100.00000000000003
14076.0,50.00000000000041,30.000000000000213,15.013436713832556,100.00000000000003
14077.0,50.00000000000041,30.000000000000213,15.013324741217286,100.00000000000003
14078.0,50.00000000000041,30.000000000000213,15.013213701707143,100.00000000000003
14079.0,50.00000000000041,30.000000000000213,15.013103587526249,100.00000000000003
14080.0,50.00000000000041,30.000000000000213,15.01299439096353,100.00000000000003
14081.0,50.00000000000041,30.000000000000213,15.012886104372168,100.00000000000003
14082.0,50.00000000000041,30.000000000000213,15.012778720169067,100.00000000000003
14083.0,50.00000000000041,30.000000000000213,15.012672230834324,100.00000000000003
14084.0,50.00000000000041,30.000000000000213,15.012566628910704,100.00000000000003
14085.0,50.00000000000041,30.000000000000213,15.012461907003114,100.00000000000003
14086.0,50.00000000000041,30.000000000000213,15.012358057778089,100.00000000000003
14087.0,50.00000000000041,30.000000000000213,15.01225507396327,100.00000000000003
14088.0,50.00000000000041,30.000000000000213,15.01215294834691,100.00000000000003
14089.0,50.00000000000041,30.000000000000213,15.012051673777353,100.00000000000003
14090.0,50.00000000000041,30.000000000000213,15.011951243162542,100.00000000000003
14091.0,50.00000000000041,30.000000000000213,15.011851649469522,100.00000000000003
14092.0,50.00000000000041,30.000000000000213,15.011752885723942,100.00000000000003
14093.0,50.00000000000041,30.000000000000213,15.011654945009576,100.00000000000003
14094.0,50.00000000000041,30.000000000000213,15.01155782046783,100.00000000000003
14095.0,50.00000000000041,30.000000000000213,15.011461505297266,100.00000000000003
14096.0,50.00000000000041,30.000000000000213,15.011365992753122,100.00000000000003
14097.0,50.00000000000041,30.000000000000213,15.011271276146847,100.00000000000003
14098.0,50.00000000000041,30.000000000000213,15.011177348845623,100.00000000000003
14099.0,50.00000000000041,30.000000000000213,15.01108420427191,100.00000000000003
14100.0,50.00000000000041,30.000000000000213,15.010991835902978,100.00000000000003
14101.0,50.00000000000041,30.000000000000213,15.010900237270453,100.00000000000003
14102.0,50.00000000000041,30.000000000000213,15.010809401959866,100.00000000000003
14103.0,50.00000000000041,30.000000000000213,15.010719323610202,100.00000000000003
14104.0,50.00000000000041,30.000000000000213,15.01062999591345,100.00000000000003
14105.0,50.00000000000041,30.000000000000213,15.01054141261417,100.00000000000003
14106.0,50.00000000000041,30.000000000000213,15.010453567509053,100.00000000000003
14107.0,50.00000000000041,30.000000000000213,15.010366454446478,100.00000000000003
14108.0,50.00000000000041,30.000000000000213,15.010280067326091,100.00000000000003
14109.0,50.00000000000041,30.000000000000213,15.010194400098374,100.00000000000003
14110.0,50.00000000000041,30.000000000000213,15.010109446764222,100.00000000000003
14111.0,50.00000000000041,30.000000000000213,15.01002520137452,100.00000000000003
14112.0,50.00000000000041,30.000000000000213,15.009941658029732,100.00000000000003
14113.0,50.00000000000041,30.000000000000213,15.009858810879484,100.00000000000003
14114.0,50.00000000000041,30.000000000000213,15.009776654122154,100.00000000000003
14115.0,50.00000000000041,30.000000000000213,15.009695182004469,100.00000000000003
14116.0,50.00000000000041,30.000000000000213,15.009614388821099,100.00000000000003
14117.0,50.00000000000041,30.000000000000213,15.009534268914257,100.00000000000003
14118.0,50.00000000000041,30.000000000000213,15.009454816673305,100.00000000000003
14119.0,50.00000000000041,30.000000000000213,15.00937602653436,100.00000000000003
14120.0,50.00000000000041,30.000000000000213,15.009297892979907,100.00000000000003
14121.0,50.00000000000041,30.000000000000213,15.009220410538408,100.00000000000003
14122.0,50.00000000000041,30.000000000000213,15.009143573783922,100.00000000000003
14123.0,50.00000000000041,30.000000000000213,15.009067377335722,100.00000000000003
14124.0,50.00000000000041,30.000000000000213,15.008991815857923,100.00000000000003
14125.0,50.00000000000041,30.000000000000213,15.008916884059108,100.00000000000003
14126.0,50.00000000000041,30.000000000000213,15.008842576691949,100.00000000000003
14127.0,50.00000000000041,30.000000000000213,15.008768888552849,100.00000000000003
14128.0,50.00000000000041,30.000000000000213,15.008695814481575,100.00000000000003
14129.0,50.00000000000041,30.000000000000213,15.008623349360896,100.00000000000003
14130.0,50.00000000000041,30.000000000000213,15.008551488116222,100.00000000000003
14131.0,50.00000000000041,30.000000000000213,15.008480225715253,100.00000000000003
14132.0,50.00000000000041,30.000000000000213,15.008409557167626,100.00000000000003
14133.0,50.00000000000041,30.000000000000213,15.008339477524563,100.00000000000003
14134.0,50.00000000000041,30.000000000000213,15.008269981878525,100.00000000000003
14135.0,50.00000000000041,30.000000000000213,15.00820106536287,100.00000000000003
14136.0,50.00000000000041,30.000000000000213,15.008132723151514,100.00000000000003
14137.0,50.00000000000041,30.000000000000213,15.008064950458584,100.00000000000003
14138.0,50.00000000000041,30.000000000000213,15.007997742538096,100.00000000000003
14139.0,50.00000000000041,30.000000000000213,15.007931094683613,100.00000000000003
14140.0,50.00000000000041,30.000000000000213,15.007865002227916,100.00000000000003
14141.0,50.00000000000041,30.000000000000213,15.007799460542683,100.00000000000003
14142.0,50.00000000000041,30.000000000000213,15.007734465038162,100.00000000000003
14143.0,50.00000000000041,30.000000000000213,15.007670011162844,100.00000000000003
14144.0,50.00000000000041,30.000000000000213,15.007606094403153,100.00000000000003
14145.0,50.00000000000041,30.000000000000213,15.007542710283127,100.00000000000003
14146.0,50.00000000000041,30.000000000000213,15.007479854364101,100.00000000000003
14147.0,50.00000000000041,30.000000000000213,15.0074175222444,100.00000000000003
14148.0,50.00000000000041,30.000000000000213,15.00735570955903,100.00000000000003
14149.0,50.00000000000041,30.000000000000213,15.007294411979371,100.00000000000003
14150.0,50.00000000000041,30.000000000000213,15.007233625212876,100.00000000000003
14151.0,50.00000000000041,30.000000000000213,15.00717334500277,100.00000000000003
14152.0,50.00000000000041,30.000000000000213,15.007113567127746,100.00000000000003
14153.0,50.00000000000041,30.000000000000213,15.007054287401681,100.00000000000003
14154.0,50.00000000000041,30.000000000000213,15.006995501673334,100.00000000000003
14155.0,50.00000000000041,30.000000000000213,15.006937205826056,100.00000000000003
14156.0,50.00000000000041,30.000000000000213,15.006879395777505,100.00000000000003
14157.0,50.00000000000041,30.000000000000213,15.006822067479359,100.00000000000003
14158.0,50.00000000000041,30.000000000000213,15.006765216917032,100.00000000000003
14159.0,50.00000000000041,30.000000000000213,15.00670884010939,100.00000000000003
14160.0,50.00000000000041,30.000000000000213,15.006652933108478,100.00000000000003
14161.0,50.00000000000041,30.000000000000213,15.00659749199924,100.00000000000003
14162.0,50.00000000000041,30.000000000000213,15.006542512899246,100.00000000000003
14163.0,50.00000000000041,30.000000000000213,15.00648799195842,100.00000000000003
14164.0,50.00000000000041,30.000000000000213,15.006433925358765,100.00000000000003
14165.0,50.00000000000041,30.000000000000213,15.006380309314109,100.00000000000003
14166.0,50.00000000000041,30.000000000000213,15.006327140069825,100.00000000000003
14167.0,50.00000000000041,30.000000000000213,15.006274413902576,100.00000000000003
14168.0,50.00000000000041,30.000000000000213,15.006222127120054,100.00000000000003
14169.0,50.00000000000041,30.000000000000213,15.00617027606072,100.00000000000003
14170.0,50.00000000000041,30.000000000000213,15.006118857093547,100.00000000000003
14171.0,50.00000000000041,30.000000000000213,15.006067866617768,100.00000000000003
14172.0,50.00000000000041,30.000000000000213,15.00601730106262,100.00000000000003
14173.0,50.00000000000041,30.000000000000213,15.005967156887099,100.00000000000003
14174.0,50.00000000000041,30.000000000000213,15.005917430579707,100.00000000000003
14175.0,50.00000000000041,30.000000000000213,15.00586811865821,100.00000000000003
14176.0,50.00000000000041,30.000000000000213,15.00581921766939,100.00000000000003
14177.0,50.00000000000041,30.000000000000213,15.005770724188812,100.00000000000003
14178.0,50.00000000000041,30.000000000000213,15.005722634820572,100.00000000000003
14179.0,50.00000000000041,30.000000000000213,15.005674946197066,100.00000000000003
14180.0,50.00000000000041,30.000000000000213,15.005627654978758,100.00000000000003
14181.0,50.00000000000041,30.000000000000213,15.005580757853934,100.00000000000003
14182.0,50.00000000000041,30.000000000000213,15.005534251538485,100.00000000000003
14183.0,50.00000000000041,30.000000000000213,15.005488132775664,100.00000000000003
14184.0,50.00000000000041,30.000000000000213,15.005442398335866,100.00000000000003
14185.0,50.00000000000041,30.000000000000213,15.0053970450164,100.00000000000003
14186.0,50.00000000000041,30.000000000000213,15.005352069641264,100.00000000000003
14187.0,50.00000000000041,30.000000000000213,15.00530746906092,100.00000000000003
14188.0,50.00000000000041,30.000000000000213,15.005263240152079,100.00000000000003
14189.0,50.00000000000041,30.000000000000213,15.005219379817479,100.00000000000003
14190.0,50.00000000000041,30.000000000000213,15.005175884985666,100.00000000000003
14191.0,50.00000000000041,30.000000000000213,15.005132752610786,100.00000000000003
14192.0,50.00000000000041,30.000000000000213,15.005089979672363,100.00000000000003
14193.0,50.00000000000041,30.000000000000213,15.005047563175093,100.00000000000003
14194.0,50.00000000000041,30.000000000000213,15.005005500148634,100.00000000000003
14195.0,50.00000000000041,30.000000000000213,15.004963787647396,100.00000000000003
14196.0,50.00000000000041,30.000000000000213,15.004922422750335,100.00000000000003
14197.0,50.00000000000041,30.000000000000213,15.004881402560748,100.00000000000003
14198.0,50.00000000000041,30.000000000000213,15.004840724206076,100.00000000000003
14199.0,50.00000000000041,30.000000000000213,15.004800384837692,100.00000000000003
14200.0,50.00000000000041,30.000000000000213,15.00476038163071,100.00000000000003
14201.0,50.00000000000041,30.000000000000213,15.004720711783788,100.00000000000003
14202.0,50.00000000000041,30.000000000000213,15.004681372518924,100.00000000000003
14203.0,50.00000000000041,30.000000000000213,15.004642361081267,100.00000000000003
14204.0,50.00000000000041,30.000000000000213,15.004603674738922,100.00000000000003
14205.0,50.00000000000041,30.000000000000213,15.004565310782764,100.00000000000003
14206.0,50.00000000000041,30.000000000000213,15.00452726652624,100.00000000000003
14207.0,50.00000000000041,30.000000000000213,15.004489539305188,100.00000000000003
14208.0,50.00000000000041,30.000000000000213,15.004452126477645,100.00000000000003
14209.0,50.00000000000041,30.000000000000213,15.004415025423665,100.00000000000003
