Time (s),DHA (µl/min),NaOH (µl/min),CaCl2 (µl/min),formaldehyde (µl/min),water_1 (µl/min),water_2 (µl/min)
14900.0,24.558333333333334,5.861324751710851,26.92065870162726,24.558333333333334,32.725674939997596,32.725674939997596
14901.0,24.558333333333334,5.861324751710851,26.92065870162726,24.558333333333334,32.725674939997596,32.725674939997596
14902.0,24.558333333333334,5.861324751710851,26.92065870162726,24.558333333333334,32.725674939997596,32.725674939997596
14903.0,24.558333333333334,5.861324751710851,26.92065870162726,24.558333333333334,32.725674939997596,32.725674939997596
14904.0,24.558333333333334,5.861324751710851,26.92065870162726,24.558333333333334,32.725674939997596,32.725674939997596
14905.0,24.558333333333334,5.861324751710851,26.92065870162726,24.558333333333334,32.725674939997596,32.725674939997596
14906.0,24.558333333333334,5.861324751710851,26.92065870162726,24.558333333333334,32.725674939997596,32.725674939997596
14907.0,24.558333333333334,5.861324751710851,26.92065870162726,24.558333333333334,32.725674939997596,32.725674939997596
14908.0,24.558333333333334,5.861324751710851,26.92065870162726,24.558333333333334,32.725674939997596,32.725674939997596
14909.0,24.558333333333334,5.861324751710851,26.92065870162726,24.558333333333334,32.725674939997596,32.725674939997596
14910.0,24.558333333333334,5.861324751710851,26.92065870162726,24.558333333333334,32.725674939997596,32.725674939997596
14911.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14912.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14913.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14914.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14915.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14916.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14917.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14918.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14919.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14920.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14921.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14922.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14923.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14924.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14925.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14926.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14927.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14928.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14929.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14930.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14931.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14932.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14933.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14934.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14935.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14936.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14937.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14938.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14939.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14940.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14941.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14942.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14943.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14944.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14945.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14946.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14947.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14948.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14949.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14950.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14951.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14952.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
