,input_compound,target_compound,section,test_mase,train_mase
40,naoh,eiicb,0,0.24102106745521482,0.2744494214618408
41,naoh,eiicbP,0,0.24102106801809764,0.2744494226240007
42,naoh,hpr,0,0.24034952424595568,0.2734580738470209
43,naoh,hprP,0,0.24034952434785994,0.27345807389701304
44,naoh,icd,0,0.3322446368513114,0.33237438506639744
45,naoh,icdP,0,0.3322446368520644,0.3323743850666837
46,naoh,tal,0,0.11840150952291614,0.09006355789752374
47,naoh,talC3,0,0.11840150952263849,0.09006355789754113
48,naoh,tkt,0,0.2131206831498497,0.12762329099784803
49,naoh,tktC2,0,0.21312068314967375,0.12762329099668154
50,naoh,ADP,0,0.23796799623184275,0.2410114863699964
51,naoh,AMP,0,0.11682010422339366,0.12857292255690125
52,naoh,ATP,0,0.731228729592186,0.33339432761801807
53,naoh,CAMP,0,0.19417195011455593,0.08731354924943734
54,naoh,P,0,0.19094027534147232,0.20951456154363057
55,naoh,ASP,0,0.30656432643926107,0.09761842227229207
56,naoh,FAD,0,0.3312459174448389,0.08500640943588564
57,naoh,FADH2,0,0.331245917445725,0.0850064094359043
58,naoh,ACEx,0,0.8746265786136199,0.26060772663509596
59,naoh,GLCx,0,0.8683418222200253,1.0
60,naoh,ACEx_0,0,0.9609896046226098,0.06661610358872429
61,naoh,Hout,0,0.29973321587228746,0.25364907414847315
62,naoh,GLCp,0,0.7012415864657564,1.0
63,naoh,Pp,0,0.31445703239146366,0.2123871628853643
64,naoh,ACEp,0,1.4496215611293073,0.15616254560678203
65,naoh,G3P,0,0.49138345717101284,0.5849399089628906
66,naoh,GLY,0,0.367744722740146,0.10249390963696536
67,naoh,MCOA,0,0.49555791415660916,0.04769507847269302
68,naoh,LGLU,0,0.3162472244299989,0.10714208806010982
69,naoh,BA,0,0.34801874408247974,0.049924367164228926
70,naoh,MCOAp,0,0.3287521215638788,0.04729111086077418
71,naoh,MCOAx,0,0.20253261616627258,0.05379135576608267
72,naoh,BAp,0,0.24122053499084903,0.05226458268881794
73,naoh,BAx,0,0.14681153519951243,0.05523525551660237
74,naoh,GLYp,0,0.42725884474610437,0.11151046967225989
75,naoh,GLYx,0,0.21955806638300937,0.05609477854861514
76,naoh,DAH,0,0.3042560494397316,0.10267582275495313
77,cacl2,ACCOA,1,0.4407178653977569,0.25231368356660494
78,cacl2,ACO,1,0.38750549450169125,0.21153911676190706
79,cacl2,ACP,1,1.0540509654662797,0.36188187508976954
80,cacl2,AKG,1,0.20706280412810757,0.11609128150466
81,cacl2,BPG,1,0.47626878496409936,0.2741826336480704
