input_compound,trace_label,dt,section,mutual_info
NaOH,184.05_0.601,-300,0,0.34838095098374566
NaOH,184.05_0.617,-300,0,0.14442130281772547
NaOH,185.04_0.578,-300,0,0.44184709841442427
NaOH,185.04_0.586,-300,0,0.43115081866159777
NaOH,185.04_0.605,-300,0,0.21711638748686468
NaOH,185.04_0.646,-300,0,0.3165565544274922
NaOH,186.22_0.681,-300,0,0.63222493423135
NaOH,190.05_0.57,-300,0,0.6307957129405279
NaOH,190.05_0.61,-300,0,0.300088049155101
NaOH,190.05_0.624,-300,0,0.2231123967193609
NaOH,191.04_0.581,-300,0,0.6659566844157969
NaOH,191.04_0.6,-300,0,0.3884959505191623
NaOH,191.04_0.611,-300,0,0.4362996393421006
NaOH,191.04_0.617,-300,0,0.39769700568746735
NaOH,191.04_0.65,-300,0,0.3001785025329049
NaOH,191.06_0.569,-300,0,0.6280633700494773
NaOH,191.06_0.6,-300,0,0.3857143783367971
NaOH,191.06_0.608,-300,0,0.44926343096888166
NaOH,191.06_0.617,-300,0,0.39881751748082284
NaOH,192.05_0.574,-300,0,0.7115573159986872
NaOH,192.05_0.581,-300,0,0.5688074885559158
NaOH,192.05_0.611,-300,0,0.3592322196921449
NaOH,192.05_0.623,-300,0,0.30430530224663865
NaOH,197.04_0.585,-300,0,0.6288386090243949
NaOH,197.04_0.61,-300,0,0.43255681167279914
NaOH,197.04_0.619,-300,0,0.270503171286157
NaOH,197.04_0.624,-300,0,0.3250789516805308
NaOH,197.04_0.669,-300,0,0.41520285446430494
NaOH,198.05_0.58,-300,0,0.7321104053116367
NaOH,198.05_0.617,-300,0,0.3655981876374801
NaOH,198.05_0.632,-300,0,0.49179248921890295
NaOH,199.06_0.578,-300,0,0.7836321946073608
NaOH,199.06_0.614,-300,0,0.5341397916346051
NaOH,199.06_0.628,-300,0,0.3060938534168276
NaOH,199.06_0.664,-300,0,0.4883750236118325
NaOH,200.04_0.586,-300,0,0.45335113060415066
NaOH,200.04_0.614,-300,0,0.3704940848941787
NaOH,200.06_0.554,-300,0,0.39844878738144374
NaOH,200.06_0.578,-300,0,0.5026669687116825
NaOH,200.06_0.614,-300,0,0.36961189297266195
NaOH,200.06_0.628,-300,0,0.3105582595108891
NaOH,200.06_0.664,-300,0,0.5714739351462073
NaOH,201.05_0.581,-300,0,0.6605892399737909
NaOH,201.05_0.614,-300,0,0.2875595060467022
NaOH,201.05_0.63,-300,0,0.4941670221939747
NaOH,203.05_0.584,-300,0,0.5763014025646194
NaOH,203.05_0.632,-300,0,0.5319493998320568
NaOH,203.05_0.668,-300,0,0.7333643233033302
NaOH,204.05_0.586,-300,0,0.43963111790176246
NaOH,204.05_0.623,-300,0,0.31172336228375563
NaOH,204.05_0.665,-300,0,0.8435366566004112
NaOH,205.06_0.581,-300,0,0.6100100954196335
